employer_name,job_title,employer_city,employer_state,prevailing_wage,linkedin_est,address,address_full,longitude,latitude,studio_appt_price,transportation_cost
"INNOVA SOLUTIONS, INC.",SOFTWARE ENGINEER,santa clara,CA,133016,73928.57143,SANTA CLARA CA,SANTA CLARA California,-121.9551744,37.3541132,1894,
SUNRISE INFOTEK CORP,SOFTWARE DEVELOPER,cary,NC,72093,69780,CARY NC,CARY North Carolina,-78.7811964,35.7883046,921,
"QUALCOMM ATHEROS, INC.",SOFTWARE ENGINEER,san jose,CA,99154,73928.57143,SAN JOSE CA,SAN JOSE California,-121.8905833,37.3361905,1797,70
INDUS VALLEY CONSULTANTS INC,SOFTWARE DEVELOPER,dayton,OH,67350,72066.66667,DAYTON OH,DAYTON Ohio,-84.1916069,39.7589478,590,55
"PINTEREST, INC.",SOFTWARE ENGINEER,san francisco,CA,121077,73928.57143,SAN FRANCISCO CA,SAN FRANCISCO California,-122.4192363,37.7792808,2008,91
WAYFAIR LLC,SOFTWARE ENGINEER,boston,MA,87859,70000,BOSTON MA,BOSTON Massachusetts,-71.0582912,42.3602534,1508,84.5
CAMELOT INTEGRATED SOLUTIONS INC,SOFTWARE DEVELOPER,houston,TX,90002,75622.22222,HOUSTON TX,HOUSTON Texas,-95.3676974,29.7589382,743,65
ARKA TECHNOLOGIES INC,SOFTWARE ENGINEER,miami,FL,66643,70550,MIAMI FL,MIAMI Florida,-80.1936589,25.7742658,879,
PATHPARTNER TECHNOLOGY INC.,SOFTWARE ENGINEER,fremont,CA,108576,73928.57143,FREMONT CA,FREMONT California,-121.9885719,37.5482697,2419,
BITCOIN TECHNOLOGIES LLC,SOFTWARE DEVELOPER,dallas,TX,90646,75622.22222,DALLAS TX,DALLAS Texas,-99.075962,19.5059496,767,
"INFI SYSTEMS, LLC",SOFTWARE DEVELOPER,clearwater,FL,71365,70550,CLEARWATER FL,CLEARWATER Florida,-82.8001026,27.9658533,860,
SIGMA SOFTWARE LLC,SOFTWARE ENGINEER,dallas,TX,78624,75622.22222,DALLAS TX,DALLAS Texas,-99.075962,19.5059496,767,
