,address,prevailing_wage,studio_appt_price,mms_wage,mms_appt,metric1,metric2,wage_rank,appt_rank,savings,metric1_rank,metric2_rank,savings_rank,product,final_metric,final_rank
0,ALBUQUERQUE NM,80010.6,563.0,0.3253383032748367,0.03185247275775355,0.6467429152585416,0.5612267579443457,71.0,3.0,73254.6,17.0,35.0,34.0,7242.0,19.347261729511764,15.0
1,ALPHARETTA GA,80452.29,1213.0,0.33323082531167847,0.30427493713327747,0.5144779440892004,0.4814945865626086,68.0,61.0,65896.29,75.0,72.0,78.0,323544.0,68.65061783898314,85.0
2,ANN ARBOR MI,83906.77,1017.0,0.3949586423911471,0.22212908633696563,0.5864147780270907,0.5542804705344698,46.0,51.0,71702.77,43.0,36.0,39.0,91494.0,45.06065893718614,57.0
3,ATLANTA GA,80215.81,995.0,0.3290051837728789,0.2129086336965633,0.5580482750381578,0.508878315137036,69.0,50.0,68275.81,58.0,64.0,68.0,234600.0,61.67502524471852,81.0
4,AURORA CO,81654.54,1022.0,0.35471373101204184,0.2242246437552389,0.5652445436284015,0.524574275999858,60.0,52.0,69390.54,56.0,52.0,58.0,180960.0,56.562360987825166,76.0
5,AUSTIN TX,85536.64,983.0,0.42408265446338755,0.20787929589270746,0.60810167928534,0.5795900713894504,34.0,47.0,73740.64,35.0,26.0,30.0,47940.0,36.327262871204134,40.0
6,BEAVERTON OR,85171.02,1388.0,0.4175494209577384,0.37761944677284154,0.5199649870924484,0.5097790105676742,36.0,67.0,68515.02,72.0,63.0,66.0,159192.0,54.196812673684875,72.0
7,BELLEVUE WA,91519.59,1683.0,0.5309914926085224,0.5012573344509639,0.5148670790787793,0.5146145279793758,13.0,75.0,71323.59,74.0,59.0,41.0,39975.0,34.192392548886374,35.0
8,BENTONVILLE AR,84044.33,633.0,0.39741669064079743,0.0611902766135792,0.6681132070136091,0.6108180198795986,44.0,13.0,76448.33,10.0,14.0,17.0,9724.0,21.34428690965805,17.0
9,BOSTON MA,88223.8,1508.0,0.4720992939990818,0.4279128248113998,0.5220932345938409,0.519694094167393,19.0,71.0,70127.8,71.0,54.0,53.0,71497.0,41.50457200318466,52.0
10,CAMBRIDGE MA,87837.5,1632.0,0.46519653128579375,0.47988264878457665,0.49265694125060855,0.49189103228964226,23.0,73.0,68253.5,79.0,70.0,69.0,115851.0,48.74909926014897,65.0
11,CARROLLTON TX,81610.06,934.0,0.3539189215751093,0.18734283319362952,0.5832880441907399,0.5362972572057351,62.0,42.0,70402.06,44.0,45.0,50.0,130200.0,50.68393532635542,67.0
12,CARY NC,79636.05,921.0,0.31864550033861616,0.18189438390611903,0.5683755582162486,0.5105738667128064,73.0,41.0,68584.05,55.0,61.0,64.0,191552.0,57.64507788147627,77.0
13,CEDAR PARK TX,80462.28,1120.0,0.33340933579447896,0.26529756915339475,0.5340558833205421,0.49493095425034367,67.0,55.0,67022.28,69.0,68.0,74.0,272690.0,64.84697731554147,83.0
14,CEDAR RAPIDS IA,72023.44,571.0,0.18261640259385215,0.03520536462699078,0.5737055189834307,0.41974673977729265,83.0,5.0,65171.44,53.0,79.0,82.0,34030.0,32.40564348171917,33.0
15,CHANDLER AZ,82032.37,953.0,0.3614651439966692,0.19530595138306786,0.5830795963068007,0.5393225845044708,57.0,44.0,70596.37,45.0,42.0,49.0,122892.0,49.71733839284743,66.0
16,CHARLOTTE NC,84583.24,893.0,0.4070464288075537,0.17015926236378878,0.6184435832218824,0.5811916282379211,39.0,37.0,73867.24,29.0,23.0,28.0,40404.0,34.31427184190771,36.0
17,CHEYENNE WY,85478.14,612.0,0.42303732280734985,0.052388935456831515,0.6853241936752592,0.6331467821974339,35.0,11.0,78134.14,3.0,8.0,13.0,5005.0,17.105457487670787,10.0
18,CHICAGO IL,90699.5,940.0,0.5163373723042506,0.18985750209555743,0.6632399351043465,0.646766455963806,15.0,43.0,79419.5,13.0,3.0,8.0,5160.0,17.280245195423376,11.0
19,CINCINNATI OH,72041.05,557.0,0.18293107422569532,0.029337803855825628,0.5767966351849348,0.42138376600306565,82.0,2.0,65357.05,48.0,78.0,81.0,13284.0,23.683340318904342,22.0
20,CLEARWATER FL,75197.06,860.0,0.2393255555893079,0.15632858340318526,0.5414984860930614,0.44934633692937914,79.0,32.0,64877.06,65.0,76.0,83.0,209824.0,59.42260964426459,78.0
21,COLUMBIA MD,86172.0,1290.0,0.4354358496938162,0.33654652137468566,0.5494446641595653,0.5374862130301873,29.0,64.0,70692.0,63.0,43.0,48.0,89088.0,44.66216137326739,56.0
22,COLUMBUS OH,85923.88,636.0,0.431002213958841,0.062447611064543135,0.6842773014471489,0.6356784999774511,30.0,14.5,78291.88,4.0,7.0,12.0,5220.0,17.346964950646658,12.0
23,DALLAS TX,88085.06,767.0,0.4696201604271386,0.1173512154233026,0.676134472501918,0.6438242491656613,21.0,23.0,78881.06,9.0,4.0,9.0,4347.0,16.32036547624439,9.0
24,DAYTON OH,82812.35,590.0,0.3754025420321607,0.043168482816429155,0.6661170296078658,0.5993304462875231,52.0,8.0,75732.35,12.0,18.0,22.0,9152.0,20.91728612702393,16.0
25,DETROIT MI,77951.3,569.0,0.28854084209059194,0.034367141659681466,0.6270868502154552,0.527848953864513,77.0,4.0,71123.3,22.0,49.0,44.0,13552.0,23.841548778560192,23.0
26,DULUTH GA,84390.99,1240.0,0.40361112947638733,0.315590947191953,0.5440100911422172,0.5255807367357752,41.0,63.0,69510.99,64.0,51.0,57.0,147231.0,52.80395115059953,70.0
27,FREMONT CA,97059.09,2419.0,0.629976359422548,0.8097233864207879,0.41012648650088007,0.3462221372267854,8.0,83.0,68031.09,82.0,82.0,71.0,47144.0,36.1250793211941,39.0
28,FRISCO TX,84196.45,1083.0,0.40013491032483905,0.24979044425817268,0.5751722330333332,0.5478914429990611,43.0,54.0,71200.45,49.0,38.0,42.0,97524.0,46.02959658032929,60.0
29,GAITHERSBURG MD,87780.81,1505.0,0.464183542369883,0.4266554903604358,0.5187640260047236,0.515884759886175,24.0,70.0,69720.81,73.0,58.0,55.0,92400.0,45.20890523366839,58.0
30,GERMANTOWN MD,92578.37,1652.0,0.5499107447585998,0.48826487845766975,0.530822933150465,0.5304796337339214,11.0,74.0,72754.37,70.0,47.0,38.0,30932.0,31.390820473830203,30.0
31,GREENBELT MD,82003.33,1320.0,0.36094623064126186,0.3491198658843252,0.5059131823784684,0.4846985981084862,58.0,66.0,66163.33,77.0,71.0,77.0,294756.0,66.55094368354258,84.0
32,HOUSTON TX,87714.3,743.0,0.4629950806870957,0.10729253981559092,0.6778512704357524,0.6428990298313202,25.0,21.0,78798.3,8.0,5.0,10.0,5250.0,17.380133224432246,13.0
33,INDIANAPOLIS IN,73503.77,606.0,0.20906829678841965,0.049874266554903596,0.579597015116758,0.4456917868058759,81.0,9.5,66231.77,46.0,77.0,76.0,58482.0,38.815698469171814,44.0
34,IRVING TX,83974.03,840.0,0.3961605057618325,0.1479463537300922,0.6241070760158701,0.5809905364483144,45.0,29.0,73894.03,23.0,24.0,27.0,35235.0,32.78370943966245,34.0
35,JACKSONVILLE FL,75034.71,695.0,0.23642453688233878,0.08717518860016762,0.5746246741410856,0.4645580515822685,80.0,17.0,66694.71,50.0,73.0,75.0,102000.0,46.72328728355259,62.0
36,JERSEY CITY NJ,85880.52,1451.0,0.43022741770916917,0.4040234702430846,0.5131019737330422,0.5063649310651257,31.0,69.0,68468.52,76.0,65.0,67.0,143313.0,52.33134083948074,69.0
37,LAS VEGAS NV,83320.22,785.0,0.384477629009115,0.12489522212908635,0.6297912034400144,0.5800501789762306,49.0,26.0,73900.22,21.0,25.0,26.0,33124.0,32.11546826178415,32.0
38,LEWISVILLE TX,83753.23,866.0,0.39221504884468517,0.15884325230511318,0.616685898269786,0.5743816979006091,48.0,33.0,73361.23,30.0,28.0,33.0,52272.0,37.3900781062185,43.0
39,LIVONIA MI,85618.35,772.0,0.42554272368757284,0.11944677284157587,0.6530479754229985,0.6121380715466714,33.0,24.0,76354.35,14.0,12.0,18.0,14256.0,24.24744012373314,24.0
40,LOS ANGELES CA,90848.98,1150.0,0.5190084180468917,0.2778709136630344,0.6205687521919286,0.6122018251568643,14.0,57.0,77048.98,28.0,11.0,15.0,11970.0,22.875190359429936,21.0
41,LOUISVILLE KY,80961.77,583.0,0.34233468124532074,0.04023470243084659,0.651049989407237,0.5732023614864619,66.0,7.0,73965.77,15.0,31.0,25.0,11550.0,22.604452616834198,20.0
42,MCKINNEY TX,79152.53,966.0,0.31000552149541405,0.20075440067057834,0.5546255604124178,0.4977655560834157,74.0,45.0,67560.53,61.0,67.0,73.0,243090.0,62.410217754799355,82.0
43,MEMPHIS TN,61803.66,631.0,0.0,0.060352053646269915,0.46982397317686503,0.0,85.0,12.0,54231.66,80.0,85.0,85.0,86700.0,44.25948598062168,55.0
44,MIAMI FL,81567.69,879.0,0.35316181555346304,0.1642917015926236,0.5944350569804198,0.5432681289553477,63.0,36.0,71019.69,40.0,39.0,46.0,104328.0,47.076080190746666,63.0
