,address,prevailing_wage,linkedin_est,longitude,latitude,state,housing_price,text,studio_appt_price
1,ALBANY NY,79864.42,71000.0,-73.75496800000005,42.65116740000003,NY,373938.36,ALBANY NY: 79864.42,751.0
6,BUFFALO NY,70046.2,71000.0,-78.87839220000001,42.8867166,NY,373938.36,BUFFALO NY: 70046.2,716.0
43,NEW YORK NY,91837.37,71000.0,-115.17449463280245,36.1021436000006,NY,373938.36,NEW YORK NY: 91837.37,1940.0
55,ROCHESTER NY,84461.38,71000.0,-77.6152140000001,43.15728499999995,NY,373938.36,ROCHESTER NY: 84461.38,660.0
63,SYRACUSE NY,75566.0,71000.0,-76.1474244,43.0481221,NY,373938.36,SYRACUSE NY: 75566.0,588.0
67,TROY NY,67246.0,71000.0,-73.6917878,42.7284117,NY,373938.36,TROY NY: 67246.0,682.0
80,BOISE ID,82215.5,73000.0,-116.20088600000001,43.6166163,ID,279753.57,BOISE ID: 82215.5,598.0
86,BALTIMORE MD,77264.5,73000.0,-76.61075899999997,39.290881600000006,MD,325274.83,BALTIMORE MD: 77264.5,778.0
88,BOWIE MD,70803.0,73000.0,-76.731234,38.9429659,MD,325274.83,BOWIE MD: 70803.0,2049.0
89,CATONSVILLE MD,84070.41,73000.0,-76.73184559999999,39.27205039999999,MD,325274.83,CATONSVILLE MD: 84070.41,951.0
93,COLUMBIA MD,86172.0,73000.0,-74.20380250000014,4.610439899999987,MD,325274.83,COLUMBIA MD: 86172.0,1290.0
98,FREDERICK MD,67287.0,73000.0,-77.4109269,39.4142186,MD,325274.83,FREDERICK MD: 67287.0,1348.0
100,GAITHERSBURG MD,87780.81,73000.0,-77.20137050000018,39.14344059999992,MD,325274.83,GAITHERSBURG MD: 87780.81,1505.0
101,GERMANTOWN MD,92578.37,73000.0,-77.2716502,39.17316209999995,MD,325274.83,GERMANTOWN MD: 92578.37,1652.0
102,GREENBELT MD,82003.33,73000.0,-76.88306579702108,38.99373330000002,MD,325274.83,GREENBELT MD: 82003.33,1320.0
106,LAUREL MD,87813.82,73000.0,-76.84830609999997,39.0992752,MD,325274.83,LAUREL MD: 87813.82,1241.0
110,OWINGS MILLS MD,74152.0,73000.0,-76.796299,39.401075299999995,MD,325274.83,OWINGS MILLS MD: 74152.0,1035.0
111,PASADENA MD,91929.17,73000.0,-76.5506967542792,39.1106375,MD,325274.83,PASADENA MD: 91929.17,1325.0
117,TOWSON MD,79222.25,73000.0,-76.602388,39.4018552,MD,325274.83,TOWSON MD: 79222.25,980.0
127,CAMDEN NJ,75733.0,73000.0,-75.11989109999999,39.9448402,NJ,367661.46,CAMDEN NJ: 75733.0,783.0
154,HACKENSACK NJ,82335.82,73000.0,-74.04347360000003,40.8859326,NJ,367661.46,HACKENSACK NJ: 82335.82,1287.0
164,JERSEY CITY NJ,85880.52,73000.0,-74.07764170000026,40.728157499999845,NJ,367661.46,JERSEY CITY NJ: 85880.52,1451.0
168,LAKEWOOD NJ,82400.0,73000.0,-74.2121964562147,40.092024,NJ,367661.46,LAKEWOOD NJ: 82400.0,1337.0
242,ABILENE TX,66061.0,75622.22222222223,-99.7475905,32.44645,TX,284640.68,ABILENE TX: 66061.0,602.0
244,ALLEN TX,82928.65,75622.22222222223,-96.67055030000003,33.103174399999986,TX,284640.68,ALLEN TX: 82928.65,1058.0
246,AMARILLO TX,57595.0,75622.22222222223,-101.83382459999999,35.2072185,TX,284640.68,AMARILLO TX: 57595.0,533.0
247,ARLINGTON TX,84222.15,75622.22222222223,-97.10562482668799,32.701938999999996,TX,284640.68,ARLINGTON TX: 84222.15,849.0
